game_id,court_position
0021500009,toronto raptors
0021500024,toronto raptors
0021500042,milwaukee bucks
0021500057,toronto raptors
0021500066,oklahoma city thunder
0021500075,orlando magic
0021500096,miami heat
0021500109,new york knicks
0021500115,toronto raptors
0021500131,new orleans pelicans
0021500150,sacramento kings
0021500164,toronto raptors
0021500173,toronto raptors
0021500188,toronto raptors
0021500196,toronto raptors
0021500219,cleveland cavaliers
0021500239,toronto raptors
0021500250,phoenix suns
0021500272,atlanta hawks
0021500278,denver nuggets
0021500290,golden state warriors
0021500308,los angeles lakers
0021500323,toronto raptors
0021500337,milwaukee bucks
0021500355,philadelphia 76ers
0021500357,toronto raptors
0021500383,toronto raptors
0021500390,miami heat
0021500408,sacramento kings
0021500421,dallas mavericks
0021500441,milwaukee bucks
0021500463,chicago bulls
0021500477,washington wizards
0021500492,charlotte hornets
0021500507,toronto raptors
0021500511,toronto raptors
0021500529,toronto raptors
0021500540,toronto raptors
0021500554,toronto raptors
0021500621,toronto raptors
0021500633,toronto raptors
0021500649,miami heat
